tool_id,data_tapor,repository_tapor,url_tapor,name_tapor-api,detail,name,QId,url_image,star_average,_ - tools - _ - attribute_value_ids - attribute_value_ids,_ - attribute_values - _ - id,_ - attribute_values - _ - name
98,"{""id"":98,""user_id"":1,""name"":""Citeline"",""detail"":""\u003cp\u003eCiteline was a tool for publishing bibliographies and citation collections on the web. It takes a BibTex file exported from Endnotes, Refworks and similar tools and turns the collection into an interactive, shareable exhibit. Citeline citation collections may also be exported in a variety of formats, such as BibTex, JSON, XML or tab-separated values.\u003c/p\u003e \u003cp\u003eThe Citeline project has been retired, and the website is no longer available. Information about Citeline is currently only available via the Internet Archive.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/98.jpg"",""creators_name"":""MIT Libraries"",""creators_email"":""citeline-lib@mit.edu"",""creators_url"":""http://libraries.mit.edu/"",""star_average"":0.0,""url"":"""",""last_updated"":""2018-10-26"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/98-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Citeline,"Citeline was a tool for publishing bibliographies and citation collections on the web. It takes a BibTex file exported from Endnotes, Refworks and similar tools and turns the collection into an interactive, shareable exhibit. Citeline citation collections may also be exported in a variety of formats, such as BibTex, JSON, XML or tab-separated values. The Citeline project has been retired, and the website is no longer available. Information about Citeline is currently only available via the Internet Archive.",Citéline,,https://tapor.ca/images/tools/0/98.jpg,0,65,,
,,,,,,,,,,81,,
,,,,,,,,,,89,,
112,"{""id"":112,""user_id"":null,""name"":""d3.js - Data Driven Documents"",""detail"":""\u003cp\u003eD3.js is a free, open source JavaScript library for manipulating documents with data utilizing HTML5, SVG and CSS3. It is designed to create visualizations that work with current web standards to make the best possible use of the most recent browsers without requiring a proprietary framework. This tool allows users to bind data to an Document Object Model (DOM) and apply data-driven transformations to the document.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/112.jpg"",""creators_name"":""Michael Bostock"",""creators_email"":""mbostock@gmail.com"",""creators_url"":""http://bost.ocks.org/mike/"",""star_average"":0.0,""url"":""http://d3js.org/"",""last_updated"":""2018-10-26"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/112-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://d3js.org/,d3.js - Data Driven Documents,"D3.js is a free, open source JavaScript library for manipulating documents with data utilizing HTML5, SVG and CSS3. It is designed to create visualizations that work with current web standards to make the best possible use of the most recent browsers without requiring a proprietary framework. This tool allows users to bind data to an Document Object Model (DOM) and apply data-driven transformations to the document.",D3.js,,https://tapor.ca/images/tools/0/112.jpg,0,4,,
,,,,,,,,,,79,,
,,,,,,,,,,148,,
119,"{""id"":119,""user_id"":1,""name"":""WordSmith"",""detail"":""\u003cp class=\""p_Body\""\u003eWordSmith Tools is a commercial integrated suite of programs designed to analyze word behaviour in a text. It can be used to generate a list of all words or word clusters, concord, find keywords and more. This tool is recommended for publishers, language teachers and students, and language researchers. \u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/119.jpg"",""creators_name"":""Mike Scott"",""creators_email"":"""",""creators_url"":""http://www.lexically.net/"",""star_average"":0.0,""url"":""http://www.lexically.net/wordsmith/index.html"",""last_updated"":""2013-05-15"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/119-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.lexically.net/wordsmith/index.html,WordSmith,"WordSmith Tools is a commercial integrated suite of programs designed to analyze word behaviour in a text. It can be used to generate a list of all words or word clusters, concord, find keywords and more. This tool is recommended for publishers, language teachers and students, and language researchers. ",WordSmith,,https://tapor.ca/images/tools/0/119.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,147,,
